Wrong silo open during dosing / discharging: silo 1;1
Wrong silo open during dosing / discharging: silo 2;2
Wrong silo open during dosing / discharging: silo 3;3
Wrong silo open during dosing / discharging: silo 4;4
Wrong silo open during dosing / discharging: silo 5;5
Wrong silo open during dosing / discharging: silo 6;6
Wrong silo open during dosing / discharging: silo 7;7
Wrong silo open during dosing / discharging: silo 8;8
Wrong silo open during dosing / discharging: silo 9;9
Wrong silo open during dosing / discharging: silo 10;10
Wrong silo open during dosing / discharging: silo 11;11
Wrong silo open during dosing / discharging: silo 12;12
Wrong silo open during dosing / discharging: silo 13;13
Wrong silo open during dosing / discharging: silo 14;14
Wrong silo open during dosing / discharging: silo 15;15
Wrong silo open during dosing / discharging: silo 16;16
